# ID,Mahalanobis,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor (CBLOF),Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Average KNN,Local Outlier Factor
peptide_129,0,0,0,0,0,0,0,0,0
peptide_130,0,0,0,0,0,0,0,0,0
peptide_131,0,0,0,0,0,0,0,0,0
peptide_132,0,0,0,0,0,0,0,0,0
peptide_133,0,0,0,0,0,0,0,0,0
peptide_134,0,0,0,0,0,0,0,0,0
peptide_135,0,0,0,0,0,0,0,0,0
peptide_136,0,0,0,0,0,0,0,0,0
peptide_137,0,0,0,0,0,0,0,0,0
peptide_138,0,0,0,0,0,0,0,0,0
peptide_139,0,0,0,0,0,0,0,0,0
peptide_140,0,0,0,0,0,0,0,0,0
peptide_141,0,0,0,0,0,0,0,0,0
peptide_142,0,0,0,0,0,0,0,0,0
peptide_143,0,0,0,0,0,0,0,0,0
peptide_144,0,0,0,0,0,0,0,0,0
peptide_145,0,0,0,0,0,0,0,0,0
peptide_146,0,0,0,0,0,0,0,0,0
peptide_147,0,0,0,0,0,0,0,0,0
peptide_148,0,0,0,0,0,0,0,0,0
peptide_149,0,0,0,0,0,0,0,0,0
peptide_150,1,0,0,0,0,0,0,0,0
peptide_151,1,0,0,0,0,0,0,0,0
peptide_152,1,0,0,0,0,0,0,0,0
peptide_153,0,0,0,0,0,0,0,0,0
peptide_154,0,0,0,0,0,0,0,0,0
peptide_155,0,0,0,0,0,0,0,0,0
peptide_156,0,0,0,0,0,0,0,0,0
peptide_157,0,0,0,0,0,0,0,0,0
peptide_158,1,0,0,0,0,0,0,0,0
peptide_159,1,0,0,0,0,0,0,0,0
peptide_160,0,0,0,0,0,0,0,0,0
peptide_161,0,0,0,0,0,0,0,0,0
peptide_162,0,0,0,0,0,0,0,0,0
peptide_163,0,0,0,0,0,0,0,0,0
peptide_164,0,0,0,0,0,0,0,0,0
peptide_165,0,0,0,0,0,0,0,0,0
peptide_166,0,0,0,0,0,0,0,0,0
peptide_167,0,0,0,0,0,0,0,0,0
peptide_168,0,0,0,0,0,0,0,0,0
peptide_169,0,0,0,0,0,0,0,0,0
peptide_170,0,0,0,0,0,0,0,0,0
peptide_171,1,0,0,0,0,0,0,0,0
peptide_172,0,0,0,0,0,0,0,0,0
peptide_173,0,0,0,0,0,0,0,0,0
peptide_174,0,0,0,0,0,0,0,0,0
peptide_175,0,0,0,0,0,0,0,0,0
peptide_176,0,1,0,0,0,0,0,0,1
peptide_177,0,0,0,0,0,0,0,0,0
peptide_178,0,1,0,0,0,0,0,0,0
peptide_179,1,1,0,0,1,1,0,0,0
peptide_180,0,0,1,0,1,0,1,0,0
peptide_181,0,0,0,0,0,0,0,0,0
peptide_182,1,0,0,0,0,0,0,0,0
peptide_183,0,0,0,0,0,0,0,0,0
peptide_184,1,0,0,0,0,0,0,0,0
peptide_185,0,0,0,0,0,0,0,0,0
peptide_186,0,0,0,0,0,0,0,0,0
peptide_187,0,0,0,0,0,0,0,0,0
peptide_188,0,0,0,0,0,0,0,0,0
peptide_189,0,0,0,0,0,0,0,0,0
peptide_190,0,0,0,0,0,0,0,0,0
peptide_191,0,0,0,0,0,0,0,0,0
peptide_192,0,0,0,0,0,0,0,0,0
peptide_193,0,1,1,1,1,1,1,1,0
peptide_194,0,0,0,0,0,0,0,0,0
peptide_195,1,0,0,0,0,0,0,0,0
peptide_196,0,0,0,0,0,0,0,0,0
peptide_197,0,0,0,0,0,0,0,0,0
