# ID,H_Eisenberg,uH_Eisenberg,H_GRAVY,uH_GRAVY,Z3_1,Z3_2,Z3_3, Z5_1,Z5_2,Z5_3, Z5_4,Z5_5,S_AASI, uS_AASI, modlas_ABHPRK, H_argos, uH_argos, B_Builkiness, uB_Builkiness, charge_phys, charge_acid, Ez, flexibility, u_flexibility, Grantham, H_HoppWoods, uH-HoppWoods, ISAECI, H_Janin, uH_Janin, H_KyteDoolittle, uH_KyteDoolittle, F_Levitt, uF_Levitt, MSS_shape, u_MSS_shape, MSW, pepArc, pepcats, polarity, u_polarity, PPCALI, refractivity, u_refractivity, t_scale, TM_tend, u_TM_tend,Length,BomanIndex,Aromaticity,AliphaticIndex,InstabilityIndex, NetCharge, MW, IsoelectricPoint, HydrophobicRatio
AP00011,0.7178801936264624,0.21294519433380088,0.638245877565662,0.3789384006838457,0.17639710442844908,0.3490778355157194,0.17253881052681597,0.2458652969906803,0.290434445463492,0.23429458507988468,0.12890429646886614,0.26755303851406376,0.5872466349370016,0.11534632353255043,0.0,0.3612217232906888,0.1968845162338601,0.36223173042541257,0.019064263726121477,0.28131609870740304,0.28131609870740304,0.3134335368087409,0.6087184955109484,0.2997369535125726,0.1257075862524118,0.5681594002761886,0.16446155960829406,0.2185277390141804,0.7283928587099927,0.23699570631506445,0.6394060685195124,0.3686302522739686,0.554873923562935,0.022334039408316523,0.30301018576059496,0.08192844091183273,0.17032634898439264,1.0,0.3333333333333333,0.5888653630589116,0.2795503575015999,0.4179335137852822,0.12271342109527665,0.08882147169376968,0.16954703545089006,0.5506249332336288,0.2566138911555639,0.3645833333333333,0.3087698222973977,0.054054054054054064,0.31952662721893493,0.18179046099640594,0.19796336266533843,0.32431514815009344,0.7976349946879764,0.6324324324324324
AP00032,0.7193323920935861,0.21731523557645063,0.6305783178450123,0.3746913880205514,0.2009101073882878,0.39893632580579985,0.17114389999689383,0.26643816775449625,0.3037274659327285,0.23519662718587153,0.13041721804200004,0.2549337964746042,0.5967186641157942,0.1243270330787977,0.0,0.35499449292552737,0.20223803044838767,0.34276477899914143,0.007950763105062533,0.28131609870740304,0.28131609870740304,0.3581024050712742,0.6409222258278863,0.29416005885265906,0.12569323904668564,0.5690471493391202,0.1641329657995239,0.21568548736112184,0.7304990887629702,0.24123593966989954,0.6315307339716093,0.3642159288328188,0.5210700730429196,0.043745030049585125,0.28112932898924536,0.08960754023938307,0.17347258333515406,1.0,0.3333333333333333,0.5899032673226223,0.28206817649651456,0.39778308452826977,0.12335996441708554,0.0856114612198248,0.16801805300083797,0.5502403589360111,0.25938855712818654,0.3645833333333333,0.3087517426747396,0.054054054054054064,0.31952662721893493,0.1690331194571932,0.19796336266533843,0.32431514815009344,0.7976349946879764,0.5972972972972973
AP00033,0.7206030657523196,0.21876127806327286,0.639456544889975,0.3815765289262061,0.19392947635424013,0.34102580026452345,0.17092474946476138,0.259653764025535,0.283014646951314,0.2358418631412251,0.12886408829999374,0.26812664042494827,0.5772760779066941,0.11818048451202234,0.0,0.3692281623316106,0.21056885672096812,0.3618019963983424,0.0188792455411329,0.28131609870740304,0.28131609870740304,0.3411945782235239,0.6177429573655989,0.2838907301717312,0.13199644476242103,0.5668277766817913,0.16812508128439888,0.22434106959069117,0.7304990887629702,0.24123593966989954,0.6406365895426223,0.3712344420455181,0.5579011340572643,0.019973312287759636,0.30574519037632575,0.07999679445719582,0.1756866001005047,1.0,0.3333333333333333,0.5852949723917468,0.28685147273089356,0.4073697925287137,0.12686746205218502,0.08716445408427108,0.17519606121433765,0.55389381476338,0.2634225999120846,0.3645833333333333,0.3071788155034773,0.054054054054054064,0.3291220214297138,0.18179046099640594,0.19796336266533843,0.3256310166045154,0.7976349946879764,0.6324324324324324
AP00034,0.7171641791044777,0.21178976660896312,0.6449605972625467,0.24709104352439962,0.18395340880066247,0.36001562404604515,0.16550183669389051,0.25226079978585886,0.3003532688007002,0.23205994682637748,0.13244535799730417,0.24053729424854686,0.6357007725051235,0.06357281201003331,0.0,0.36559561128526646,0.15439185639463457,0.35476271429380957,0.05692953097597163,0.28260869565217395,0.28260869565217395,0.29836320606391614,0.5991677784130615,0.07573914191651374,0.13451112467719095,0.5684306569343066,0.19481801978098584,0.20876359364970515,0.7316809178482521,0.20624940278195933,0.6463892753256609,0.2396272580529941,0.582048743694904,0.04495923794587616,0.29876025467316525,0.09205697710832401,0.16895715440582051,1.0,0.3333333333333333,0.5915258576548902,0.22612151014449286,0.42408499098114877,0.12459221320097857,0.08306420352573123,0.18446801146327413,0.5577075098814229,0.2098317084737516,0.3541666666666667,0.3114872900252713,0.05555555555555555,0.3284023668639054,0.15619684490309182,0.19796336266533843,0.315206299661607,0.7976349946879764,0.6499999999999999
AP00049,0.794589552238806,0.15242427141867912,0.6889257569473248,0.2820316983093925,0.24450647600967304,0.5300464558669266,0.0880140357130187,0.28804891774326047,0.32598050213951785,0.12289945626128468,0.1083708193219364,0.20759481630035012,0.6613195648746646,0.191451088225371,0.0,0.4800156739811912,0.35480780270935985,0.23619611196111953,0.10676268556353509,0.3101086956521739,0.3423913043478261,0.45946080135047884,0.5694206213074138,0.5183485712615575,0.08179019172410129,0.541286496350365,0.22774683680244953,0.2488494513200219,0.7681567269184977,0.23187779828357793,0.6866068040976351,0.2638476495008437,0.6165323150898033,0.12842508179704332,0.11457353788752034,0.039227668998076635,0.10033234527979878,1.0,0.3333333333333333,0.5636840757808502,0.3482999504780193,0.30086137634338905,0.06577955519103493,0.050567209176517525,0.0969543607134536,0.5945652173913043,0.25292777548986006,0.22916666666666666,0.19706035379812697,0.04166666666666666,0.37721893491124264,0.07911958383297302,0.1990702307820023,0.1785960818445793,0.7391565430273915,0.6499999999999999
AP00055,0.8947761194029852,0.30371181648116735,0.8489423475736209,0.6243796243516581,0.3374421241665621,0.6386095709076378,0.11171328599209104,0.3945101930425876,0.34367032898756333,0.1749657410933319,0.04474946742020104,0.15115602307308806,0.589228283146776,0.04577458365244188,0.0,0.57923197492163,0.47088182520364474,0.4020745207452072,0.38156318034459613,0.3208695652173913,0.3208695652173913,0.6666203266967876,0.6572327044025156,0.3402471634741733,0.1328045511249526,0.4672445255474452,0.3183874817822535,0.3852712905959246,0.8732330338781253,0.32802364770855924,0.851271025673454,0.622949769221571,0.40636402206194305,0.2794865344477594,0.163088485105867,0.279585466470276,0.08358932902182692,0.0,0.3333333333333333,0.3559907834101384,0.4274543830357215,0.29202101368848066,0.0960136055125691,0.1472001928625184,0.08871055424680939,0.7326086956521738,0.4355577697894151,0.1875,0.08758733462167387,0.0,0.6053254437869823,0.1654036359180387,0.19793569096242183,0.1450006377694576,0.7663171509076632,0.715
AP00056,0.8974626865671643,0.2970869875375192,0.8579012857735381,0.6128736892753075,0.3613533498002924,0.6353897131058827,0.11513789436253097,0.4350327528211478,0.3448394412285516,0.18167608300887755,0.029641807074068192,0.15720718180321103,0.5435755951442535,0.05371087449388277,0.0,0.615203761755486,0.47357711730983143,0.4244937449374491,0.38361152126960846,0.3208695652173913,0.3208695652173913,0.6741274018171887,0.6524871355060033,0.36080949779572935,0.13497217479009446,0.46313868613138687,0.31363901555577434,0.39513221297411394,0.8695313345600173,0.32845078915926845,0.8581004173517139,0.6123991625539014,0.4212982605006363,0.2906771798046678,0.14453793302190143,0.2726894906265191,0.08337375370520074,0.0,0.3333333333333333,0.34554531490015367,0.41968363360543703,0.25108922883155627,0.09131889270103646,0.14599499821245554,0.07033403229007554,0.7358102766798418,0.43109645609012953,0.1875,0.07899137802883897,0.0,0.6745562130177516,0.1654036359180387,0.19793569096242183,0.1433086729143063,0.7663171509076632,0.715
AP00057,0.9025,0.2958440376267389,0.863127333056823,0.613742970083266,0.3669617065220158,0.6427223304527366,0.1156353981804396,0.42538433684900373,0.34933674367550666,0.1853234584787232,0.030465765242345805,0.14713244466902928,0.5541817751852438,0.051682067925934445,0.0,0.57923197492163,0.47088182520364474,0.4244937449374491,0.38361152126960846,0.3208695652173913,0.3208695652173913,0.6691226850702547,0.6739279588336192,0.34319953134643866,0.1351048864430622,0.46313868613138687,0.31363901555577434,0.3934229367763839,0.8759606017967313,0.32458150129325136,0.8649298090299736,0.6138101916079381,0.39049639372083134,0.2768777446897961,0.15464948735060352,0.2774827389214222,0.08014012395580697,0.0,0.3333333333333333,0.34838709677419366,0.42016940714876694,0.26979242346769633,0.09173752951144588,0.14624648760749023,0.0749281627792591,0.737588932806324,0.43069915054088376,0.1875,0.07899137802883897,0.0,0.6745562130177516,0.1654036359180387,0.19793569096242183,0.1433086729143063,0.7663171509076632,0.715
AP00058,0.7728855721393035,0.2435535104751856,0.6730264067468548,0.41798065179189586,0.21633563352486207,0.5175940880854547,0.13323641771949646,0.264356633495638,0.31410113078488355,0.1571710274275612,0.07377575113802863,0.1706372988522025,0.6710547059750902,0.17649109721025155,0.0,0.42197840473702536,0.4075167127080961,0.3292488480440358,0.14117212618660113,0.33043478260869563,0.33043478260869563,0.4827300862254434,0.6437117506299898,0.42372824491287614,0.13174138332728752,0.544403892944039,0.28522984022008724,0.26146800044697366,0.7181152361366671,0.30471896109225605,0.6719784157497577,0.39734299674661083,0.49130250318201046,0.021435320200186615,0.21840122595446249,0.04103693501290517,0.11135063924069581,1.0,0.3333333333333333,0.545940717983729,0.4875095703552547,0.30254928326033903,0.09355162232122682,0.05844226658568741,0.12039346119096217,0.5834870443566095,0.3573758039356375,0.2604166666666667,0.21440959318170558,0.037037037037037035,0.398422090729783,0.151828543438098,0.22552437877026954,0.2142811587895886,0.7378862765023788,0.5296296296296296
AP00060,0.7759950248756219,0.23600557976568395,0.6719203649937786,0.38021630036712906,0.23319348589618225,0.4987043173183008,0.12659093277978134,0.29476834248472933,0.2943902837208833,0.15295950613062445,0.11773811875926347,0.1520400335908122,0.6710547059750902,0.18965873648819695,0.0,0.4578544061302682,0.39289197655839503,0.3111108888866666,0.09089843440223443,0.3336231884057971,0.36231884057971014,0.5064738041253607,0.6278296592762002,0.3758308334263596,0.1436559406159588,0.5425790754257908,0.26497312893303104,0.27822285177435496,0.7264855503842408,0.29532448372255105,0.6696176383794952,0.359687859245285,0.5403918980499381,0.00954062512028659,0.2081097584267517,0.03678044472189403,0.12875634999051863,1.0,0.3333333333333333,0.5347328895715996,0.42981499237708326,0.2681234248565718,0.10463774535775497,0.01908126363641502,0.1285003366945259,0.5863855950812472,0.3337762912774023,0.2604166666666667,0.20938011000445966,0.037037037037037035,0.4115713346482578,0.13294840411926778,0.22668659029276664,0.21644207177532507,0.7378862765023788,0.5296296296296296
